LATITUDE,LONGITUDE
39.1887,-81.5148
39.7801,-86.0557
44.2507,-76.946
44.2507,-76.946
40.5921,-74.6238
40.7279,-73.5118
41.0413,-83.6461
42.6563,-83.1231
42.9,-78.9435
43.6547,-79.3623
29.7052,-98.42
43.0371,-89.3932
37.751,-97.822
39.7168,-84.1575
37.8594,-86.0019
9.9983,-84.1171
46.0965,-64.8007
32.9567,-97.336
38.8476,-77.3281
44.7494,79.334
43.3309,-79.8872
43.5898,-79.7599
43.5898,-79.7599
43.5898,-79.7599
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
0,0
34.8308,-82.3507
34.8308,-82.3507
34.8308,-82.3507
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
37.2754,-78.2815
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
42.0957,80.0954
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
47.6034,-122.3414
35.6893,139.6899
33.6068,-112.2279
41.0413,-83.6461
32.9616,-96.8107
32.8445,-79.8242
41.0413,-83.6461
35.1947,-80.744
40.7123,-74.0068
41.4866,-81.8037
41.6692,-83.5519
30.4421,-97.6339
41.3844,-81.7003
40.5457,-80.0508
42.437,-83.7959
39.8291,-86.0859
41.6583,-72.6624
40.1462,74.7118
38.918,-76.5361
29.3991,-98.6421
29.4551,-98.6498
36.334,-82.3439
39.8212,-85.1715
39.1397,-86.5141
39.6438,-84.1743
35.4666,-79.1758
44.5928,-123.2746
39.7951,-76.9794
39.1397,-86.5141
46.3152,-63.6024
29.5531,-98.3598
44.6615,-90.179
29.4213,-98.5313
42.9,-78.9435
41.0413,-83.6461
33.9435,-97.1118
42.3888,-83.1895
32.9636,-96.7468
32.9636,-96.7468
32.9636,-96.7468
34.4135,-118.093
42.0751,-80.1464
42.0751,-80.1464
39.7668,-86.4013
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
29.6825,-82.3606
42.0774,-71.0446
35.4834,-97.6315
42.9705,-78.7498
42.9705,-78.7498
41.3319,-73.2367
42.9705,-78.7498
42.9705,-78.7498
42.9705,-78.7498
45.3736,-75.918
39.1397,-86.5141
37.5147,-77.5034
39.1397,-86.5141
39.2449,81.6638
29.5531,-98.3598
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
44.2573,-76.473
41.0287,-74.6429
42.0751,-80.1464
42.0751,-80.1464
40.7064,-73.9473
40.7064,-73.9473
32.7052,-97.3351
40.7064,-73.9473
40.7064,-73.9473
49.2663,-122.8739
0,0
32.9567,-97.336
43.6591,-79.4626
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
37.2095,-93.3044
0,0
44.6095,-71.9306
29.6584,-98.4987
42.4655,-88.1162
42.4655,-88.1162
42.4655,-88.1162
42.4655,-88.1162
49.2774,-122.7625
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
42.0751,-80.1464
39.7954,-86.2658
42.0751,-80.1464
