LATITUDE,LONGITUDE
41.284,-87.4219
39.8079,-86.0949
39.7801,-86.0557
39.7801,-86.0557
39.7801,-86.0557
39.6648,-85.9939
39.7801,-86.0557
39.7801,-86.0557
39.7801,-86.0557
39.7801,-86.0557
39.7801,-86.0557
39.0909,84.85
39.5906,-86.3668
39.1134,85.088
37.9445,87.4053
39.1963,-86.5776
39.7801,-86.0557
39.7801,-86.0557
36.6642,-87.4208
30.2752,89.7812
